song_title,album_title,album_release_date_raw,album_release_date_iso,disc_number,track_number,release_group_mbid,release_mbid,recording_mbid
Something in the Night,Darkness on the Edge of Town,1978,1978-01-01,1,,b613123b-a234-3f48-9c45-e05bf4e6b9e7,e548fdf0-29fa-4469-920c-0c302b37cb85,dbd46307-185e-4488-9081-37af7df8cab7
Candy’s Room,Darkness on the Edge of Town,1978,1978-01-01,1,,b613123b-a234-3f48-9c45-e05bf4e6b9e7,e548fdf0-29fa-4469-920c-0c302b37cb85,ca2c133c-6361-4dcf-ba8e-9d2e857fa5a2
Racing in the Street,Darkness on the Edge of Town,1978,1978-01-01,1,,b613123b-a234-3f48-9c45-e05bf4e6b9e7,e548fdf0-29fa-4469-920c-0c302b37cb85,98db830e-f88a-4fc7-a8a6-960b3c91a044
The Promised Land,Darkness on the Edge of Town,1978,1978-01-01,1,,b613123b-a234-3f48-9c45-e05bf4e6b9e7,e548fdf0-29fa-4469-920c-0c302b37cb85,d2d85458-9fb8-46f8-b41c-cc7a081fa641
Factory,Darkness on the Edge of Town,1978,1978-01-01,1,,b613123b-a234-3f48-9c45-e05bf4e6b9e7,e548fdf0-29fa-4469-920c-0c302b37cb85,3d7ef2fd-5885-4fb7-a068-09f4eba79f19
Streets of Fire,Darkness on the Edge of Town,1978,1978-01-01,1,,b613123b-a234-3f48-9c45-e05bf4e6b9e7,e548fdf0-29fa-4469-920c-0c302b37cb85,bee5a4f0-1e25-4b46-a337-a1704b052965
Prove It All Night,Darkness on the Edge of Town,1978,1978-01-01,1,,b613123b-a234-3f48-9c45-e05bf4e6b9e7,e548fdf0-29fa-4469-920c-0c302b37cb85,d162da72-61be-4311-9e9c-fb19c7f10cc7
Darkness on the Edge of Town,Darkness on the Edge of Town,1978,1978-01-01,1,,b613123b-a234-3f48-9c45-e05bf4e6b9e7,e548fdf0-29fa-4469-920c-0c302b37cb85,181db54e-9f5d-4ecc-9c3c-1501badd48e2
The Ties That Bind,The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,47b1592c-f0c6-4e1f-aa14-0e252643ff0e
Sherry Darling,The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,fd40a72d-8b30-47d3-9f47-ac7482666482
Jackson Cage,The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,1f5c2e45-cbf6-4b40-8b8d-49c6f69f74e5
Two Hearts,The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,4fb5ec61-9a50-4411-9e46-59a7263f7d38
Independence Day,The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,33b7cd4d-eb44-4ada-ae4e-7f780b0a8eac
Hungry Heart,The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,d38af851-b768-45e8-a8e0-4b38e684002f
Out in the Street,The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,6db451f3-95e0-44d8-9c46-17f0944d8e00
Crush on You,The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,d88d30bc-a5fc-4bd4-890c-60d6fb8d0b1f
You Can Look (but You Better Not Touch),The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,8eaa0668-37fb-4150-9107-91779d1b1fde
