song_title,album_title,album_release_date_raw,album_release_date_iso,disc_number,track_number,release_group_mbid,release_mbid,recording_mbid
Straight Time,The Ghost of Tom Joad,1995,1995-01-01,1,,46ab3187-496d-3565-900e-57d89bacd22c,ebfb5064-7f08-40ba-84a7-b9a5e9c43f6f,7f8c2da5-ea5e-4d7e-852d-2385780536e3
Highway 29,The Ghost of Tom Joad,1995,1995-01-01,1,,46ab3187-496d-3565-900e-57d89bacd22c,ebfb5064-7f08-40ba-84a7-b9a5e9c43f6f,98d01a1d-5511-4b73-bddf-cbb0a031983b
Youngstown,The Ghost of Tom Joad,1995,1995-01-01,1,,46ab3187-496d-3565-900e-57d89bacd22c,ebfb5064-7f08-40ba-84a7-b9a5e9c43f6f,4a2a50af-4f2e-40c3-84af-7850efa84031
Sinaloa Cowboys,The Ghost of Tom Joad,1995,1995-01-01,1,,46ab3187-496d-3565-900e-57d89bacd22c,ebfb5064-7f08-40ba-84a7-b9a5e9c43f6f,0267daef-bfde-4ae7-a730-18640ed1f385
The Line,The Ghost of Tom Joad,1995,1995-01-01,1,,46ab3187-496d-3565-900e-57d89bacd22c,ebfb5064-7f08-40ba-84a7-b9a5e9c43f6f,fa445edb-c66f-4122-9f21-a8e72e40d8c2
Balboa Park,The Ghost of Tom Joad,1995,1995-01-01,1,,46ab3187-496d-3565-900e-57d89bacd22c,ebfb5064-7f08-40ba-84a7-b9a5e9c43f6f,6ce2eed9-32db-4acd-bfa2-db0bca67dc69
Dry Lightning,The Ghost of Tom Joad,1995,1995-01-01,1,,46ab3187-496d-3565-900e-57d89bacd22c,ebfb5064-7f08-40ba-84a7-b9a5e9c43f6f,fccd4850-31a8-4eaf-a51d-082cb85fc4f2
The New Timer,The Ghost of Tom Joad,1995,1995-01-01,1,,46ab3187-496d-3565-900e-57d89bacd22c,ebfb5064-7f08-40ba-84a7-b9a5e9c43f6f,b9d30f45-7e58-422f-ab85-f4e2fdcc8366
Across the Border,The Ghost of Tom Joad,1995,1995-01-01,1,,46ab3187-496d-3565-900e-57d89bacd22c,ebfb5064-7f08-40ba-84a7-b9a5e9c43f6f,972fb708-4ae1-4e5a-bfe7-abca2cabbfd7
Galveston Bay,The Ghost of Tom Joad,1995,1995-01-01,1,,46ab3187-496d-3565-900e-57d89bacd22c,ebfb5064-7f08-40ba-84a7-b9a5e9c43f6f,85fb29fc-fce6-4cf1-bcd0-2cdd77a0ba9e
My Best Was Never Good Enough,The Ghost of Tom Joad,1995,1995-01-01,1,,46ab3187-496d-3565-900e-57d89bacd22c,ebfb5064-7f08-40ba-84a7-b9a5e9c43f6f,f481118c-1543-4955-a032-3785ec0356fa
Lonesome Day,The Rising,2002,2002-01-01,1,1,d19453c0-cd72-3468-b110-0f898c111e5e,fa8eb369-f759-4bc5-a0fb-383e5a886f22,b742f9b0-623e-41c2-9d8b-db6349618ad3
Into the Fire,The Rising,2002,2002-01-01,1,2,d19453c0-cd72-3468-b110-0f898c111e5e,fa8eb369-f759-4bc5-a0fb-383e5a886f22,5faff88e-c4c3-4da6-b7da-0b3c1e35f586
Waitin’ on a Sunny Day,The Rising,2002,2002-01-01,1,3,d19453c0-cd72-3468-b110-0f898c111e5e,fa8eb369-f759-4bc5-a0fb-383e5a886f22,f7b7bbb2-b504-4b45-b8b6-51eaa840d7d5
Nothing Man,The Rising,2002,2002-01-01,1,4,d19453c0-cd72-3468-b110-0f898c111e5e,fa8eb369-f759-4bc5-a0fb-383e5a886f22,ac2f8dea-5726-4ffc-a248-87f42fef2951
Countin’ On a Miracle,The Rising,2002,2002-01-01,1,5,d19453c0-cd72-3468-b110-0f898c111e5e,fa8eb369-f759-4bc5-a0fb-383e5a886f22,8326340e-a05d-4863-80a3-a0f83d6bb2bc
Empty Sky,The Rising,2002,2002-01-01,1,6,d19453c0-cd72-3468-b110-0f898c111e5e,fa8eb369-f759-4bc5-a0fb-383e5a886f22,bcdcae3c-31ee-4808-b57f-02b725751f86
Worlds Apart,The Rising,2002,2002-01-01,1,7,d19453c0-cd72-3468-b110-0f898c111e5e,fa8eb369-f759-4bc5-a0fb-383e5a886f22,4ba54512-631c-40b7-9a73-24e9a033dfb1
Let’s Be Friends (Skin to Skin),The Rising,2002,2002-01-01,1,8,d19453c0-cd72-3468-b110-0f898c111e5e,fa8eb369-f759-4bc5-a0fb-383e5a886f22,8763cd46-2af6-4f28-a271-cf37c309d428
Further On (up the Road),The Rising,2002,2002-01-01,1,9,d19453c0-cd72-3468-b110-0f898c111e5e,fa8eb369-f759-4bc5-a0fb-383e5a886f22,5ae7b31a-a5ae-404e-900b-5a3d1f5c5a76
The Fuse,The Rising,2002,2002-01-01,1,10,d19453c0-cd72-3468-b110-0f898c111e5e,fa8eb369-f759-4bc5-a0fb-383e5a886f22,b98c1fd4-81d7-4f41-8c29-d30d418b0e14
Mary’s Place,The Rising,2002,2002-01-01,1,11,d19453c0-cd72-3468-b110-0f898c111e5e,fa8eb369-f759-4bc5-a0fb-383e5a886f22,c4d0d821-8d7c-4ceb-a8bb-e4e84f05b2c0
You’re Missing,The Rising,2002,2002-01-01,1,12,d19453c0-cd72-3468-b110-0f898c111e5e,fa8eb369-f759-4bc5-a0fb-383e5a886f22,08ba151d-eeac-4e48-9a36-71748de56977
The Rising,The Rising,2002,2002-01-01,1,13,d19453c0-cd72-3468-b110-0f898c111e5e,fa8eb369-f759-4bc5-a0fb-383e5a886f22,42cb0c94-6e39-4fb7-bd12-9e7af5de1a65
Paradise,The Rising,2002,2002-01-01,1,14,d19453c0-cd72-3468-b110-0f898c111e5e,fa8eb369-f759-4bc5-a0fb-383e5a886f22,d1a26d57-91bb-49ce-83d3-2d10e2bf469d
My City of Ruins,The Rising,2002,2002-01-01,1,15,d19453c0-cd72-3468-b110-0f898c111e5e,fa8eb369-f759-4bc5-a0fb-383e5a886f22,145a39dc-5123-4db0-9fe7-b69946b23568
Devils & Dust,Devils & Dust,2005,2005-01-01,1,1,d5f992ab-6238-3b28-bf2b-7b16d913c9f6,8e46cd99-5d42-44be-ac5f-9a6420194f7e,d650b76f-3fd6-4e33-8ef8-751a2069c7c0
All the Way Home,Devils & Dust,2005,2005-01-01,1,2,d5f992ab-6238-3b28-bf2b-7b16d913c9f6,8e46cd99-5d42-44be-ac5f-9a6420194f7e,d4b654c3-38fa-473b-97fd-175d359a9fd0
Reno,Devils & Dust,2005,2005-01-01,1,3,d5f992ab-6238-3b28-bf2b-7b16d913c9f6,8e46cd99-5d42-44be-ac5f-9a6420194f7e,23dd1dab-f8c8-4a52-8c89-44937c3ed66d
Long Time Comin’,Devils & Dust,2005,2005-01-01,1,4,d5f992ab-6238-3b28-bf2b-7b16d913c9f6,8e46cd99-5d42-44be-ac5f-9a6420194f7e,d0635eee-c1a6-43c2-a8c0-99ea7d0481f5
Black Cowboys,Devils & Dust,2005,2005-01-01,1,5,d5f992ab-6238-3b28-bf2b-7b16d913c9f6,8e46cd99-5d42-44be-ac5f-9a6420194f7e,cd3999e8-6208-4cc5-b3c8-123a3d08643b
Maria’s Bed,Devils & Dust,2005,2005-01-01,1,6,d5f992ab-6238-3b28-bf2b-7b16d913c9f6,8e46cd99-5d42-44be-ac5f-9a6420194f7e,ba30624e-fe57-41a8-88c3-090e905801b0
Silver Palomino,Devils & Dust,2005,2005-01-01,1,7,d5f992ab-6238-3b28-bf2b-7b16d913c9f6,8e46cd99-5d42-44be-ac5f-9a6420194f7e,f0b8ce29-9be0-43a5-a97a-8fbd31b7a8e2
Jesus Was an Only Son,Devils & Dust,2005,2005-01-01,1,8,d5f992ab-6238-3b28-bf2b-7b16d913c9f6,8e46cd99-5d42-44be-ac5f-9a6420194f7e,a090ab18-15eb-4bd5-8709-bb2ad198840e
Leah,Devils & Dust,2005,2005-01-01,1,9,d5f992ab-6238-3b28-bf2b-7b16d913c9f6,8e46cd99-5d42-44be-ac5f-9a6420194f7e,4c3351df-8a7c-4ea5-a57f-8fee52f95cc2
The Hitter,Devils & Dust,2005,2005-01-01,1,10,d5f992ab-6238-3b28-bf2b-7b16d913c9f6,8e46cd99-5d42-44be-ac5f-9a6420194f7e,b20cef42-b64d-4401-ba76-805aeb788130
All I’m Thinkin’ About,Devils & Dust,2005,2005-01-01,1,11,d5f992ab-6238-3b28-bf2b-7b16d913c9f6,8e46cd99-5d42-44be-ac5f-9a6420194f7e,a825f2ef-40e7-4216-a4ef-961248f619f4
Matamoros Banks,Devils & Dust,2005,2005-01-01,1,12,d5f992ab-6238-3b28-bf2b-7b16d913c9f6,8e46cd99-5d42-44be-ac5f-9a6420194f7e,259e5e70-d913-4527-8146-e1e3b8cbd17b
Old Dan Tucker,We Shall Overcome: The Seeger Sessions,2006,2006-01-01,1,1,602387fa-a76f-3895-9039-1c812c6cb28c,e7e358b8-0b30-4f3d-b0a9-40920bbc137e,ca376ce1-0067-498d-a2db-bc295dbdf60b
Jesse James,We Shall Overcome: The Seeger Sessions,2006,2006-01-01,1,2,602387fa-a76f-3895-9039-1c812c6cb28c,e7e358b8-0b30-4f3d-b0a9-40920bbc137e,0c1046e6-da16-419b-ad53-5fb072341873
Mrs. McGrath,We Shall Overcome: The Seeger Sessions,2006,2006-01-01,1,3,602387fa-a76f-3895-9039-1c812c6cb28c,e7e358b8-0b30-4f3d-b0a9-40920bbc137e,4b4c911e-7f66-435f-ae50-d9183c1cf577
O Mary Don’t You Weep,We Shall Overcome: The Seeger Sessions,2006,2006-01-01,1,4,602387fa-a76f-3895-9039-1c812c6cb28c,e7e358b8-0b30-4f3d-b0a9-40920bbc137e,22ca83f3-e3cf-4007-93f3-3693b8b6e8bd
John Henry,We Shall Overcome: The Seeger Sessions,2006,2006-01-01,1,5,602387fa-a76f-3895-9039-1c812c6cb28c,e7e358b8-0b30-4f3d-b0a9-40920bbc137e,9539089d-0919-4a5b-bcc7-1ace9c95e368
Erie Canal,We Shall Overcome: The Seeger Sessions,2006,2006-01-01,1,6,602387fa-a76f-3895-9039-1c812c6cb28c,e7e358b8-0b30-4f3d-b0a9-40920bbc137e,97a2ad20-ea5c-4407-8838-607b0dfd54bd
Jacob’s Ladder,We Shall Overcome: The Seeger Sessions,2006,2006-01-01,1,7,602387fa-a76f-3895-9039-1c812c6cb28c,e7e358b8-0b30-4f3d-b0a9-40920bbc137e,efa57ae3-cf6c-4cf8-b2c8-f88c995f7a6b
My Oklahoma Home,We Shall Overcome: The Seeger Sessions,2006,2006-01-01,1,8,602387fa-a76f-3895-9039-1c812c6cb28c,e7e358b8-0b30-4f3d-b0a9-40920bbc137e,1eefc147-94b4-4595-bc56-9e74005ff07a
Eyes on the Prize,We Shall Overcome: The Seeger Sessions,2006,2006-01-01,1,9,602387fa-a76f-3895-9039-1c812c6cb28c,e7e358b8-0b30-4f3d-b0a9-40920bbc137e,30db2cc8-9960-47dd-afaa-d8d3eddb8fc9
Shenandoah,We Shall Overcome: The Seeger Sessions,2006,2006-01-01,1,10,602387fa-a76f-3895-9039-1c812c6cb28c,e7e358b8-0b30-4f3d-b0a9-40920bbc137e,525ec069-43a2-4146-b13b-cdc5ccbd36e6
Pay Me My Money Down,We Shall Overcome: The Seeger Sessions,2006,2006-01-01,1,11,602387fa-a76f-3895-9039-1c812c6cb28c,e7e358b8-0b30-4f3d-b0a9-40920bbc137e,6a613f78-899d-4de9-9b38-4308ebccc06a
We Shall Overcome,We Shall Overcome: The Seeger Sessions,2006,2006-01-01,1,12,602387fa-a76f-3895-9039-1c812c6cb28c,e7e358b8-0b30-4f3d-b0a9-40920bbc137e,1b8a5c3e-d37d-4ee4-ab67-1e1e01073041
Froggie Went a Courtin’,We Shall Overcome: The Seeger Sessions,2006,2006-01-01,1,13,602387fa-a76f-3895-9039-1c812c6cb28c,e7e358b8-0b30-4f3d-b0a9-40920bbc137e,342c7ce7-6f4c-42c5-a628-fabff0613592
Radio Nowhere,Magic,2007,2007-01-01,1,1,5af7998f-9b53-3ebb-8f09-ebfbca703a59,b339ce62-af15-4115-a3b4-0a31b3cac805,4b090e66-b405-4278-8826-eedd0c6b6f31
You’ll Be Comin’ Down,Magic,2007,2007-01-01,1,2,5af7998f-9b53-3ebb-8f09-ebfbca703a59,b339ce62-af15-4115-a3b4-0a31b3cac805,c795755e-5872-4fe1-bc1e-18ca5646028a
Livin’ in the Future,Magic,2007,2007-01-01,1,3,5af7998f-9b53-3ebb-8f09-ebfbca703a59,b339ce62-af15-4115-a3b4-0a31b3cac805,3c3fc1f9-0069-4335-8242-0e48d53a1409
Your Own Worst Enemy,Magic,2007,2007-01-01,1,4,5af7998f-9b53-3ebb-8f09-ebfbca703a59,b339ce62-af15-4115-a3b4-0a31b3cac805,8aaf9888-4a55-43dd-975e-267b517532ba
Gypsy Biker,Magic,2007,2007-01-01,1,5,5af7998f-9b53-3ebb-8f09-ebfbca703a59,b339ce62-af15-4115-a3b4-0a31b3cac805,80430a6e-5cbf-4f1f-9e6d-c0c31d0c21cd
Girls in Their Summer Clothes,Magic,2007,2007-01-01,1,6,5af7998f-9b53-3ebb-8f09-ebfbca703a59,b339ce62-af15-4115-a3b4-0a31b3cac805,3f7019a0-4b55-46d5-bf2e-024fc93df4ef
I’ll Work for Your Love,Magic,2007,2007-01-01,1,7,5af7998f-9b53-3ebb-8f09-ebfbca703a59,b339ce62-af15-4115-a3b4-0a31b3cac805,de7fd59b-e11f-4b14-826b-d5d4b71f664c
Magic,Magic,2007,2007-01-01,1,8,5af7998f-9b53-3ebb-8f09-ebfbca703a59,b339ce62-af15-4115-a3b4-0a31b3cac805,e5db695c-15c2-4738-8ed2-01de4ab56f92
Last to Die,Magic,2007,2007-01-01,1,9,5af7998f-9b53-3ebb-8f09-ebfbca703a59,b339ce62-af15-4115-a3b4-0a31b3cac805,d24e4c7b-df21-463a-8b03-02ebe5b0dac4
Long Walk Home,Magic,2007,2007-01-01,1,10,5af7998f-9b53-3ebb-8f09-ebfbca703a59,b339ce62-af15-4115-a3b4-0a31b3cac805,3f061c2f-c43a-41b1-9ded-e1b89d7dc687
Devil’s Arcade,Magic,2007,2007-01-01,1,11,5af7998f-9b53-3ebb-8f09-ebfbca703a59,b339ce62-af15-4115-a3b4-0a31b3cac805,3b279734-85a4-483f-b558-8219292ccdd3
Terry’s Song,Magic,2007,2007-01-01,1,12,5af7998f-9b53-3ebb-8f09-ebfbca703a59,b339ce62-af15-4115-a3b4-0a31b3cac805,d935837b-84a3-4818-a77f-ed3be0b47818
Outlaw Pete,Working on a Dream,2009-01,2009-01-01,1,1,9cec178a-f785-33c5-8888-63ba27efca4c,bc8ffa4d-a423-4fbf-8b43-15f574493a56,1a4054e4-5f40-430a-9918-f541945a7096
My Lucky Day,Working on a Dream,2009-01,2009-01-01,1,2,9cec178a-f785-33c5-8888-63ba27efca4c,bc8ffa4d-a423-4fbf-8b43-15f574493a56,2800e9ca-0c63-4670-ad4c-5a1e50085d5b
Working on a Dream,Working on a Dream,2009-01,2009-01-01,1,3,9cec178a-f785-33c5-8888-63ba27efca4c,bc8ffa4d-a423-4fbf-8b43-15f574493a56,15dc8966-eafb-41c1-a293-f3fa77e993fb
Queen of the Supermarket,Working on a Dream,2009-01,2009-01-01,1,4,9cec178a-f785-33c5-8888-63ba27efca4c,bc8ffa4d-a423-4fbf-8b43-15f574493a56,f3d4ee5f-d57b-4659-8ce2-426b058251b4
What Love Can Do,Working on a Dream,2009-01,2009-01-01,1,5,9cec178a-f785-33c5-8888-63ba27efca4c,bc8ffa4d-a423-4fbf-8b43-15f574493a56,1469dcfa-2d31-449b-841c-cdd36fb49c13
This Life,Working on a Dream,2009-01,2009-01-01,1,6,9cec178a-f785-33c5-8888-63ba27efca4c,bc8ffa4d-a423-4fbf-8b43-15f574493a56,463c322a-c5bc-4bc4-8640-6f64112de930
Good Eye,Working on a Dream,2009-01,2009-01-01,1,7,9cec178a-f785-33c5-8888-63ba27efca4c,bc8ffa4d-a423-4fbf-8b43-15f574493a56,45c431a0-5a22-4430-b44d-659ce07a2144
Tomorrow Never Knows,Working on a Dream,2009-01,2009-01-01,1,8,9cec178a-f785-33c5-8888-63ba27efca4c,bc8ffa4d-a423-4fbf-8b43-15f574493a56,6ca05683-0abf-4d07-ae4d-eb3953115c6f
Life Itself,Working on a Dream,2009-01,2009-01-01,1,9,9cec178a-f785-33c5-8888-63ba27efca4c,bc8ffa4d-a423-4fbf-8b43-15f574493a56,bfc6561a-a12a-4ca1-802c-7920c338a6eb
Kingdom of Days,Working on a Dream,2009-01,2009-01-01,1,10,9cec178a-f785-33c5-8888-63ba27efca4c,bc8ffa4d-a423-4fbf-8b43-15f574493a56,52449e13-1dee-4cbc-b024-cb727286c68d
"Surprise, Surprise",Working on a Dream,2009-01,2009-01-01,1,11,9cec178a-f785-33c5-8888-63ba27efca4c,bc8ffa4d-a423-4fbf-8b43-15f574493a56,0ec7e639-1d14-4c6f-82be-10baa4cddabe
The Last Carnival,Working on a Dream,2009-01,2009-01-01,1,12,9cec178a-f785-33c5-8888-63ba27efca4c,bc8ffa4d-a423-4fbf-8b43-15f574493a56,78c5dbfc-f8e5-4005-993f-51e160249661
The Wrestler,Working on a Dream,2009-01,2009-01-01,1,13,9cec178a-f785-33c5-8888-63ba27efca4c,bc8ffa4d-a423-4fbf-8b43-15f574493a56,1fc56316-24d6-4835-9b3c-166f4ab39a6f
Sa Story Musicale par Antoine de Caunes,Working on a Dream,2009-01,2009-01-01,3,1,9cec178a-f785-33c5-8888-63ba27efca4c,bc8ffa4d-a423-4fbf-8b43-15f574493a56,3976f250-d485-46e9-8fcb-d4d06ea55421
Racing in the Street (’78),The Promise,2010,2010-01-01,1,1,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,cc757ed8-5299-4934-85d0-6a16c5a6fb28
Gotta Get That Feeling,The Promise,2010,2010-01-01,1,2,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,bb5e162d-2111-42a1-89e6-6f0caa1e001a
Outside Looking In,The Promise,2010,2010-01-01,1,3,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,adcecbc6-08b7-4e73-b333-0598da84658f
Someday (We’ll Be Together),The Promise,2010,2010-01-01,1,4,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,63572289-96c7-46c1-86a0-8b3f425ddcad
One Way Street,The Promise,2010,2010-01-01,1,5,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,1be88479-1f22-44ab-9a67-111e8220058f
Because the Night,The Promise,2010,2010-01-01,1,6,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,f82149ca-e447-4d8e-ac3e-e57238873295
Wrong Side of the Street,The Promise,2010,2010-01-01,1,7,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,cc3cf3ab-d102-47a0-b328-918b31b37eca
The Brokenhearted,The Promise,2010,2010-01-01,1,8,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,7a54a5d5-8188-495a-8b51-84a056c45a97
Rendezvous,The Promise,2010,2010-01-01,1,9,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,710cbdae-ed19-4fbc-98ef-18f9e55c4d51
Candy’s Boy,The Promise,2010,2010-01-01,1,10,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,6a2fc892-cd6c-402d-ad59-04e1c04d7bfc
Save My Love,The Promise,2010,2010-01-01,2,1,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,74febca8-271f-450a-a18e-a83fb4dfb247
Ain’t Good Enough for You,The Promise,2010,2010-01-01,2,2,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,6eac232f-c5b0-40a1-9fee-2b76cfd85eab
Fire,The Promise,2010,2010-01-01,2,3,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,d18e95d8-daf8-49d1-9341-ffdb7df1e512
Spanish Eyes,The Promise,2010,2010-01-01,2,4,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,5e500fc6-8bf7-4a27-b2b1-7b29df4002b5
It’s a Shame,The Promise,2010,2010-01-01,2,5,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,23b7e8db-17c7-424f-a61c-edbf9406d55c
Come On (Let’s Go Tonight),The Promise,2010,2010-01-01,2,6,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,67881621-0be7-4af7-a831-b19306a78b9d
Talk to Me,The Promise,2010,2010-01-01,2,7,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,8058ba90-77f0-4788-9b8a-639d426c7267
The Little Things (My Baby Does),The Promise,2010,2010-01-01,2,8,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,d5843db4-0c1f-4dca-a2ae-709dcc9081f8
Breakaway,The Promise,2010,2010-01-01,2,9,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,b9e1dae4-1cec-41c1-b91c-b0c5a331ad45
The Promise,The Promise,2010,2010-01-01,2,10,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,aadac219-beef-49b6-800d-ee178a290d30
City of Night,The Promise,2010,2010-01-01,2,11,2872c420-5a5f-482e-b00c-199541c5b9b3,29b10a5b-490c-4782-9b95-76536c7d3d60,50f21de5-beaa-4b1c-9d50-d56fd92cbbfd
We Take Care of Our Own,Wrecking Ball,2012,2012-01-01,1,1,d875c2f0-27d5-4946-81f9-3ebaf6636ccd,bf400cc4-ce18-4b0b-bc76-e11879b22c25,318916e8-f977-432d-a2ba-ead292e84269
Easy Money,Wrecking Ball,2012,2012-01-01,1,2,d875c2f0-27d5-4946-81f9-3ebaf6636ccd,bf400cc4-ce18-4b0b-bc76-e11879b22c25,31935b43-7cc7-4032-b47e-2f2f87b71237
Shackled and Drawn,Wrecking Ball,2012,2012-01-01,1,3,d875c2f0-27d5-4946-81f9-3ebaf6636ccd,bf400cc4-ce18-4b0b-bc76-e11879b22c25,424e5cfd-6456-493f-99e0-474c2c669c75
Jack of All Trades,Wrecking Ball,2012,2012-01-01,1,4,d875c2f0-27d5-4946-81f9-3ebaf6636ccd,bf400cc4-ce18-4b0b-bc76-e11879b22c25,474f1c33-e396-4678-b40b-7ccae4f4d583
Death to My Hometown,Wrecking Ball,2012,2012-01-01,1,5,d875c2f0-27d5-4946-81f9-3ebaf6636ccd,bf400cc4-ce18-4b0b-bc76-e11879b22c25,4725d1ed-3055-43e2-8c7d-f2a4dfa023a2
This Depression,Wrecking Ball,2012,2012-01-01,1,6,d875c2f0-27d5-4946-81f9-3ebaf6636ccd,bf400cc4-ce18-4b0b-bc76-e11879b22c25,c85e35a8-d000-4583-ba7f-1793fb320830
Wrecking Ball,Wrecking Ball,2012,2012-01-01,1,7,d875c2f0-27d5-4946-81f9-3ebaf6636ccd,bf400cc4-ce18-4b0b-bc76-e11879b22c25,15e48d0e-343f-43c5-90d9-0564fe62c6d8
You’ve Got It,Wrecking Ball,2012,2012-01-01,1,8,d875c2f0-27d5-4946-81f9-3ebaf6636ccd,bf400cc4-ce18-4b0b-bc76-e11879b22c25,1b3fd380-52a9-41bf-b9a9-9d032fb673de
Rocky Ground,Wrecking Ball,2012,2012-01-01,1,9,d875c2f0-27d5-4946-81f9-3ebaf6636ccd,bf400cc4-ce18-4b0b-bc76-e11879b22c25,75fa6178-1ec6-4123-8dc4-6a1d2973d34a
Land of Hope and Dreams,Wrecking Ball,2012,2012-01-01,1,10,d875c2f0-27d5-4946-81f9-3ebaf6636ccd,bf400cc4-ce18-4b0b-bc76-e11879b22c25,2baa56dc-6ddf-4602-85a0-1088050da207
We Are Alive,Wrecking Ball,2012,2012-01-01,1,11,d875c2f0-27d5-4946-81f9-3ebaf6636ccd,bf400cc4-ce18-4b0b-bc76-e11879b22c25,f6a578ba-e14c-44fc-8219-14f4e865ab3c
High Hopes,High Hopes,2014,2014-01-01,1,1,e9afb320-60f4-42b1-bc4d-49d7d2e49010,c392f0dd-ae6e-43e9-abb2-bdc97345b11a,53618a2c-f644-452c-859a-c970912f5e40
Harry’s Place,High Hopes,2014,2014-01-01,1,2,e9afb320-60f4-42b1-bc4d-49d7d2e49010,c392f0dd-ae6e-43e9-abb2-bdc97345b11a,3f282b32-936c-4b81-8a2c-3fb011ab4f85
American Skin (41 Shots),High Hopes,2014,2014-01-01,1,3,e9afb320-60f4-42b1-bc4d-49d7d2e49010,c392f0dd-ae6e-43e9-abb2-bdc97345b11a,646c494d-ef71-4daf-84a6-07fcdbfe09fe
Just Like Fire Would,High Hopes,2014,2014-01-01,1,4,e9afb320-60f4-42b1-bc4d-49d7d2e49010,c392f0dd-ae6e-43e9-abb2-bdc97345b11a,bdeb2532-c3b6-41c4-b058-6d963485d7e3
Down in the Hole,High Hopes,2014,2014-01-01,1,5,e9afb320-60f4-42b1-bc4d-49d7d2e49010,c392f0dd-ae6e-43e9-abb2-bdc97345b11a,fc6edfa7-88d2-49c3-9d02-190d183bb951
Heaven’s Wall,High Hopes,2014,2014-01-01,1,6,e9afb320-60f4-42b1-bc4d-49d7d2e49010,c392f0dd-ae6e-43e9-abb2-bdc97345b11a,1cbcfea2-47db-42d5-9d17-e4cb0e9c173a
Frankie Fell in Love,High Hopes,2014,2014-01-01,1,7,e9afb320-60f4-42b1-bc4d-49d7d2e49010,c392f0dd-ae6e-43e9-abb2-bdc97345b11a,0cf63d46-2d4d-4dbe-b442-8d6b4ff38c64
This Is Your Sword,High Hopes,2014,2014-01-01,1,8,e9afb320-60f4-42b1-bc4d-49d7d2e49010,c392f0dd-ae6e-43e9-abb2-bdc97345b11a,51ef215d-37ea-43d0-8cf1-d6d9e678eaed
Hunter of Invisible Game,High Hopes,2014,2014-01-01,1,9,e9afb320-60f4-42b1-bc4d-49d7d2e49010,c392f0dd-ae6e-43e9-abb2-bdc97345b11a,5cb11313-6a20-47c4-b8c6-469d037c4206
The Ghost of Tom Joad,High Hopes,2014,2014-01-01,1,10,e9afb320-60f4-42b1-bc4d-49d7d2e49010,c392f0dd-ae6e-43e9-abb2-bdc97345b11a,efc16d29-a9be-4806-8678-316bf1de19ac
The Wall,High Hopes,2014,2014-01-01,1,11,e9afb320-60f4-42b1-bc4d-49d7d2e49010,c392f0dd-ae6e-43e9-abb2-bdc97345b11a,4f4fa9e3-733c-47eb-90b9-19648818aed7
Dream Baby Dream,High Hopes,2014,2014-01-01,1,12,e9afb320-60f4-42b1-bc4d-49d7d2e49010,c392f0dd-ae6e-43e9-abb2-bdc97345b11a,f13916f3-d0cf-4eb9-bc04-bf8b8d64544e
Hitch Hikin’,Western Stars,2019-06-14,2019-06-14,1,1,c0ae827c-bb5b-4c98-ab3a-1d9573c110ac,ed818003-d492-40aa-8b01-29094ab249e5,e92fa584-1ee0-43da-abcd-0c5be219d5d0
The Wayfarer,Western Stars,2019-06-14,2019-06-14,1,2,c0ae827c-bb5b-4c98-ab3a-1d9573c110ac,ed818003-d492-40aa-8b01-29094ab249e5,5e60a8de-1ad0-4151-88a1-ba6162242ced
