pct_played_prior,catalog_size_at_play_date,interaction_pct_x_catalog,pct_played_recent_180,played,play_date_iso,song_title
1.24,139,172.3600,0.00,0,2002-12-02,When You’re Alone
20.84,176,3667.8400,47.62,0,2008-02-28,No Surrender
25.95,151,3918.4500,7.02,0,2005-11-04,Brilliant Disguise
95.67,88,8418.9600,97.62,1,1988-05-22,Born in the U.S.A.
100.00,76,7600.0000,100.00,1,1984-12-13,Dancing in the Dark
80.92,54,4369.6800,93.55,1,1980-11-27,Rosalita (Come Out Tonight)
2.28,176,401.2800,0.00,0,2008-05-07,I Wish I Were Blind
26.73,190,5078.7000,0.00,1,2009-05-23,Cover Me
84.13,124,10432.1200,92.98,1,1996-04-20,Straight Time
84.57,34,2875.3800,92.31,1,1978-06-09,Tenth Avenue Freeze‐Out
10.12,151,1528.1200,80.00,1,2005-05-05,Further On (up the Road)
11.24,233,2618.9200,0.00,0,2016-04-14,Mrs. McGrath
14.73,164,2415.7200,0.00,0,2006-10-05,Point Blank
31.25,139,4343.7500,6.56,0,2003-09-14,Across the Border
95.38,112,10682.5600,92.68,1,1992-09-03,Glory Days
25.97,139,3609.8300,0.00,0,2002-09-27,Lucky Town
7.22,233,1682.2600,3.12,0,2014-05-03,Incident on 57th Street
41.53,233,9676.4900,91.43,1,2014-05-17,Tenth Avenue Freeze‐Out
73.65,76,5597.4000,0.00,0,1985-10-02,Jungleland
30.77,24,738.4800,30.77,1,1975-07-26,Tenth Avenue Freeze‐Out
96.80,54,5227.2000,98.39,1,1981-08-27,The Promised Land
11.50,233,2679.5000,21.43,0,2014-02-11,Downbound Train
31.94,139,4439.6600,12.96,0,2003-07-27,My Hometown
72.00,151,10872.0000,44.07,1,2005-10-28,Lonesome Day
16.10,176,2833.6000,81.48,1,2007-11-15,Reason to Believe
28.40,222,6304.8000,16.67,1,2013-09-12,Cadillac Ranch
65.60,54,3542.4000,4.55,0,1981-06-04,Spirit in the Night
46.27,24,1110.4800,53.45,1,1975-12-11,Backstreets
85.00,124,10540.0000,94.44,1,1996-04-16,Youngstown
85.19,88,7496.7200,95.83,1,1988-04-13,Tougher Than the Rest
79.83,76,6067.0800,43.59,1,1985-06-21,Rosalita (Come Out Tonight)
44.62,124,5532.8800,54.17,1,1999-05-02,Out in the Street
96.63,34,3285.4200,98.84,1,1978-11-25,Born to Run
1.17,124,145.0800,0.00,0,1999-10-17,The Long Goodbye
13.70,124,1698.8000,0.00,0,1999-05-29,Gloria’s Eyes
48.44,124,6006.5600,0.00,0,2000-03-19,Dry Lightning
5.43,151,819.9300,2.86,0,2005-06-28,Stolen Car
90.99,76,6915.2400,98.73,1,1984-12-14,Hungry Heart
20.00,16,320.0000,20.00,0,1973-05-12,Lost in the Flood
22.00,176,3872.0000,8.70,1,2008-07-05,I’m on Fire
31.92,124,3958.0800,0.00,0,1996-05-08,Sherry Darling
87.65,124,10868.6000,100.00,1,1996-10-02,Straight Time
13.05,139,1813.9500,0.00,0,2002-10-05,Nebraska
37.45,233,8725.8500,4.76,0,2014-02-26,My City of Ruins
7.86,222,1744.9200,0.00,0,2012-11-12,Tunnel of Love
92.31,54,4984.7400,92.31,1,1980-11-14,Wreck on the Highway
22.17,124,2749.0800,78.95,1,1995-12-16,Adam Raised a Cain
46.29,211,9767.1900,0.00,0,2011-11-03,Last to Die
0.00,190,0.0000,0.00,0,2009-07-02,Eyes on the Prize
44.62,222,9905.6400,34.38,1,2013-06-30,Bobby Jean
36.10,211,7617.1000,100.00,0,2011-11-03,Tenth Avenue Freeze‐Out
8.00,222,1776.0000,0.00,0,2012-03-15,One Way Street
40.29,222,8944.3800,10.00,1,2012-04-09,Rosalita (Come Out Tonight)
34.13,34,1160.4200,15.48,1,1979-01-01,It’s Hard to Be a Saint in the City
23.63,24,567.1200,0.00,0,1977-03-05,For You
15.87,139,2205.9300,0.00,0,2002-07-30,Candy’s Room
7.02,124,870.4800,0.00,0,1999-07-24,Incident on 57th Street
9.69,233,2257.7700,0.00,0,2014-04-24,My Lucky Day
53.41,151,8064.9100,11.76,1,2005-08-10,Darkness on the Edge of Town
52.72,222,11703.8400,47.37,1,2012-07-28,Born in the U.S.A.
