song_title,album_release_date_iso
Spanish Eyes,2010-01-01
Talk to Me,2010-01-01
The Brokenhearted,2010-01-01
The Little Things (My Baby Does),2010-01-01
The Promise,2010-01-01
Wrong Side of the Street,2010-01-01
Death to My Hometown,2012-01-01
Easy Money,2012-01-01
Jack of All Trades,2012-01-01
Land of Hope and Dreams,2012-01-01
Rocky Ground,2012-01-01
Shackled and Drawn,2012-01-01
This Depression,2012-01-01
We Are Alive,2012-01-01
We Take Care of Our Own,2012-01-01
Wrecking Ball,2012-01-01
You’ve Got It,2012-01-01
American Skin (41 Shots),2014-01-01
Down in the Hole,2014-01-01
Dream Baby Dream,2014-01-01
Frankie Fell in Love,2014-01-01
Harry’s Place,2014-01-01
Heaven’s Wall,2014-01-01
High Hopes,2014-01-01
Hunter of Invisible Game,2014-01-01
Just Like Fire Would,2014-01-01
The Wall,2014-01-01
This Is Your Sword,2014-01-01
Chasin’ Wild Horses,2019-06-14
Drive Fast (The Stuntman),2019-06-14
Hello Sunshine,2019-06-14
Hitch Hikin’,2019-06-14
Moonlight Motel,2019-06-14
Sleepy Joe’s Café,2019-06-14
Somewhere North of Nashville,2019-06-14
Stones,2019-06-14
Sundown,2019-06-14
The Wayfarer,2019-06-14
There Goes My Miracle,2019-06-14
Tucson Train,2019-06-14
Western Stars,2019-06-14
Burnin’ Train,2020-10-23
Ghosts,2020-10-23
House of a Thousand Guitars,2020-10-23
If I Was the Priest,2020-10-23
I’ll See You in My Dreams,2020-10-23
Janey Needs a Shooter,2020-10-23
Last Man Standing,2020-10-23
Letter to You,2020-10-23
One Minute You’re Here,2020-10-23
Rainmaker,2020-10-23
Song for Orphans,2020-10-23
The Power of Prayer,2020-10-23
7 Rooms of Gloom,2022-11-11
Any Other Way,2022-11-11
Do I Love You (Indeed I Do),2022-11-11
Don’t Play That Song,2022-11-11
"Hey, Western Union Man",2022-11-11
I Forgot to Be Your Lover,2022-11-11
I Wish It Would Rain,2022-11-11
Nightshift,2022-11-11
Only the Strong Survive,2022-11-11
Someday We’ll Be Together,2022-11-11
Soul Days,2022-11-11
The Sun Ain’t Gonna Shine Anymore,2022-11-11
Turn Back the Hands of Time,2022-11-11
What Becomes of the Brokenhearted,2022-11-11
When She Was My Girl,2022-11-11
