epoch,test_accuracy
1,0.934777180872913
2,0.9335287816428934
3,0.933295210174051
4,0.9323125991671969
5,0.9297594213870923
6,0.9364282895319711
7,0.9331260722138548
8,0.9410030686458493
9,0.9348335601929784
10,0.9362349890060326
11,0.9334079688141819
12,0.9409225267600415
13,0.9321434612070006
14,0.9319018355495775
15,0.9268518593094339
16,0.9358000628226709
17,0.9298802342158039
18,0.934672476421363
19,0.9351476735476284
20,0.9415104825264379
21,0.9265458001433645
22,0.9297272046327693
23,0.927866687070611
24,0.9325300622588777
25,0.9312575004631158
26,0.9363074767032595
27,0.9323125991671969
28,0.9257484354738682
29,0.9361705554973864
30,0.9303634855306502
