song_title,album_release_date_iso,play_date_iso,years_since_release
Jungleland,1975-01-01,2014-05-18,39.38
Dream Baby Dream,2014-01-01,2014-05-18,0.38
Racing in the Street,1978-01-01,2014-05-17,36.37
Badlands,1978-01-01,2014-05-17,36.37
The Ties That Bind,1980-01-01,2014-05-17,34.37
Two Hearts,1980-01-01,2014-05-17,34.37
Frankie Fell in Love,2014-01-01,2014-05-17,0.37
High Hopes,2014-01-01,2014-05-17,0.37
Talk to Me,2010-01-01,2014-05-17,4.37
The Price You Pay,1980-01-01,2014-05-17,34.37
American Skin (41 Shots),2014-01-01,2014-05-17,0.37
The Promised Land,1978-01-01,2014-05-17,36.37
Prove It All Night,1978-01-01,2014-05-17,36.37
Jesse James,2006-01-01,2014-05-17,8.37
Shackled and Drawn,2012-01-01,2014-05-17,2.37
The Ghost of Tom Joad,1995-01-01,2014-05-17,19.37
Radio Nowhere,2007-01-01,2014-05-17,7.37
The Rising,2002-01-01,2014-05-17,12.37
I’ll Work for Your Love,2007-01-01,2014-05-17,7.37
Growin’ Up,1973-01-01,2014-05-17,41.37
Born to Run,1975-01-01,2014-05-17,39.37
Dancing in the Dark,1984-01-01,2014-05-17,30.37
Tenth Avenue Freeze‐Out,1975-01-01,2014-05-17,39.37
If I Should Fall Behind,1992-01-01,2014-05-17,22.37
Thunder Road,1975-01-01,2014-05-17,39.37
Badlands,1978-01-01,2014-05-14,36.36
Wrecking Ball,2012-01-01,2014-05-14,2.37
Hungry Heart,1980-01-01,2014-05-14,34.37
Candy’s Room,1978-01-01,2014-05-14,36.36
Death to My Hometown,2012-01-01,2014-05-14,2.37
High Hopes,2014-01-01,2014-05-14,0.36
The E Street Shuffle,1973-01-01,2014-05-14,41.36
Lost in the Flood,1973-01-01,2014-05-14,41.36
For You,1973-01-01,2014-05-14,41.36
Prove It All Night,1978-01-01,2014-05-14,36.36
The Promised Land,1978-01-01,2014-05-14,36.36
Mary’s Place,2002-01-01,2014-05-14,12.36
Shackled and Drawn,2012-01-01,2014-05-14,2.37
Waitin’ on a Sunny Day,2002-01-01,2014-05-14,12.36
The Ghost of Tom Joad,1995-01-01,2014-05-14,19.37
Lonesome Day,2002-01-01,2014-05-14,12.36
The Rising,2002-01-01,2014-05-14,12.36
"Surprise, Surprise",2009-01-01,2014-05-14,5.36
The Wall,2014-01-01,2014-05-14,0.36
Born to Run,1975-01-01,2014-05-14,39.37
Bobby Jean,1984-01-01,2014-05-14,30.37
Dancing in the Dark,1984-01-01,2014-05-14,30.37
Tenth Avenue Freeze‐Out,1975-01-01,2014-05-14,39.37
Thunder Road,1975-01-01,2014-05-14,39.37
No Surrender,1984-01-01,2014-05-13,30.36
This Is Your Sword,2014-01-01,2014-05-13,0.36
Badlands,1978-01-01,2014-05-13,36.36
Death to My Hometown,2012-01-01,2014-05-13,2.36
High Hopes,2014-01-01,2014-05-13,0.36
Something in the Night,1978-01-01,2014-05-13,36.36
Better Days,1992-01-01,2014-05-13,22.36
Mary’s Place,2002-01-01,2014-05-13,12.36
Kingdom of Days,2009-01-01,2014-05-13,5.36
Shackled and Drawn,2012-01-01,2014-05-13,2.36
The Ghost of Tom Joad,1995-01-01,2014-05-13,19.36
The Rising,2002-01-01,2014-05-13,12.36
The Wall,2014-01-01,2014-05-13,0.36
Born in the U.S.A.,1984-01-01,2014-05-13,30.36
Born to Run,1975-01-01,2014-05-13,39.36
Dancing in the Dark,1984-01-01,2014-05-13,30.36
Tenth Avenue Freeze‐Out,1975-01-01,2014-05-13,39.36
Ramrod,1980-01-01,2014-05-13,34.36
Thunder Road,1975-01-01,2014-05-13,39.36
High Hopes,2014-01-01,2014-05-06,0.34
Badlands,1978-01-01,2014-05-06,36.34
Adam Raised a Cain,1978-01-01,2014-05-06,36.34
She’s the One,1975-01-01,2014-05-06,39.34
One Step Up,1987-01-01,2014-05-06,27.34
Jesse James,2006-01-01,2014-05-06,8.34
Wrecking Ball,2012-01-01,2014-05-06,2.34
Death to My Hometown,2012-01-01,2014-05-06,2.34
Night,1975-01-01,2014-05-06,39.34
No Surrender,1984-01-01,2014-05-06,30.34
Backstreets,1975-01-01,2014-05-06,39.34
Because the Night,2010-01-01,2014-05-06,4.34
Downbound Train,1984-01-01,2014-05-06,30.34
I’m on Fire,1984-01-01,2014-05-06,30.34
All or Nothin’ at All,1992-01-01,2014-05-06,22.34
Shackled and Drawn,2012-01-01,2014-05-06,2.34
The Ghost of Tom Joad,1995-01-01,2014-05-06,19.34
The Rising,2002-01-01,2014-05-06,12.34
Born to Run,1975-01-01,2014-05-06,39.34
Rosalita (Come Out Tonight),1973-01-01,2014-05-06,41.34
Dancing in the Dark,1984-01-01,2014-05-06,30.34
Tenth Avenue Freeze‐Out,1975-01-01,2014-05-06,39.34
Thunder Road,1975-01-01,2014-05-06,39.34
High Hopes,2014-01-01,2014-05-03,0.33
Johnny 99,1982-01-01,2014-05-03,32.33
Badlands,1978-01-01,2014-05-03,36.33
No Surrender,1984-01-01,2014-05-03,30.34
Hungry Heart,1980-01-01,2014-05-03,34.34
Jesse James,2006-01-01,2014-05-03,8.33
The River,1980-01-01,2014-05-03,34.34
Wrecking Ball,2012-01-01,2014-05-03,2.34
Death to My Hometown,2012-01-01,2014-05-03,2.34
The Promised Land,1978-01-01,2014-05-03,36.33
Shackled and Drawn,2012-01-01,2014-05-03,2.34
The Ghost of Tom Joad,1995-01-01,2014-05-03,19.34
The Rising,2002-01-01,2014-05-03,12.33
Land of Hope and Dreams,2012-01-01,2014-05-03,2.34
Born to Run,1975-01-01,2014-05-03,39.34
Dancing in the Dark,1984-01-01,2014-05-03,30.34
Tenth Avenue Freeze‐Out,1975-01-01,2014-05-03,39.34
Pay Me My Money Down,2006-01-01,2014-05-03,8.33
Thunder Road,1975-01-01,2014-05-03,39.34
Badlands,1978-01-01,2014-05-01,36.33
The Ties That Bind,1980-01-01,2014-05-01,34.33
Out in the Street,1980-01-01,2014-05-01,34.33
Jesse James,2006-01-01,2014-05-01,8.33
High Hopes,2014-01-01,2014-05-01,0.33
Candy’s Room,1978-01-01,2014-05-01,36.33
Darkness on the Edge of Town,1978-01-01,2014-05-01,36.33
Wrecking Ball,2012-01-01,2014-05-01,2.33
Night,1975-01-01,2014-05-01,39.33
No Surrender,1984-01-01,2014-05-01,30.33
Bobby Jean,1984-01-01,2014-05-01,30.33
Pay Me My Money Down,2006-01-01,2014-05-01,8.33
The Ghost of Tom Joad,1995-01-01,2014-05-01,19.33
Lonesome Day,2002-01-01,2014-05-01,12.33
We Are Alive,2012-01-01,2014-05-01,2.33
Born to Run,1975-01-01,2014-05-01,39.33
Dancing in the Dark,1984-01-01,2014-05-01,30.33
Tenth Avenue Freeze‐Out,1975-01-01,2014-05-01,39.33
Thunder Road,1975-01-01,2014-05-01,39.33
Badlands,1978-01-01,2014-04-29,36.32
High Hopes,2014-01-01,2014-04-29,0.32
No Surrender,1984-01-01,2014-04-29,30.33
I Wanna Marry You,1980-01-01,2014-04-29,34.33
Talk to Me,2010-01-01,2014-04-29,4.32
Wrecking Ball,2012-01-01,2014-04-29,2.32
Hungry Heart,1980-01-01,2014-04-29,34.33
Save My Love,2010-01-01,2014-04-29,4.32
The River,1980-01-01,2014-04-29,34.33
Prove It All Night,1978-01-01,2014-04-29,36.32
Darlington County,1984-01-01,2014-04-29,30.33
Shackled and Drawn,2012-01-01,2014-04-29,2.32
The Ghost of Tom Joad,1995-01-01,2014-04-29,19.32
The Rising,2002-01-01,2014-04-29,12.32
Land of Hope and Dreams,2012-01-01,2014-04-29,2.32
Born to Run,1975-01-01,2014-04-29,39.32
Dancing in the Dark,1984-01-01,2014-04-29,30.33
Tenth Avenue Freeze‐Out,1975-01-01,2014-04-29,39.32
The Wall,2014-01-01,2014-04-29,0.32
Thunder Road,1975-01-01,2014-04-29,39.32
Adam Raised a Cain,1978-01-01,2014-04-26,36.32
The Ties That Bind,1980-01-01,2014-04-26,34.32
Jackson Cage,1980-01-01,2014-04-26,34.32
She’s the One,1975-01-01,2014-04-26,39.32
Independence Day,1980-01-01,2014-04-26,34.32
High Hopes,2014-01-01,2014-04-26,0.31
Just Like Fire Would,2014-01-01,2014-04-26,0.31
Tougher Than the Rest,1987-01-01,2014-04-26,27.32
Cadillac Ranch,1980-01-01,2014-04-26,34.32
Point Blank,1980-01-01,2014-04-26,34.32
Heaven’s Wall,2014-01-01,2014-04-26,0.31
Death to My Hometown,2012-01-01,2014-04-26,2.32
Wrecking Ball,2012-01-01,2014-04-26,2.32
Shackled and Drawn,2012-01-01,2014-04-26,2.32
The Ghost of Tom Joad,1995-01-01,2014-04-26,19.32
The Rising,2002-01-01,2014-04-26,12.32
Badlands,1978-01-01,2014-04-26,36.32
Drive All Night,1980-01-01,2014-04-26,34.32
Born to Run,1975-01-01,2014-04-26,39.32
Ramrod,1980-01-01,2014-04-26,34.32
Dancing in the Dark,1984-01-01,2014-04-26,30.32
Tenth Avenue Freeze‐Out,1975-01-01,2014-04-26,39.32
High Hopes,2014-01-01,2014-04-24,0.31
Badlands,1978-01-01,2014-04-24,36.31
Out in the Street,1980-01-01,2014-04-24,34.31
Growin’ Up,1973-01-01,2014-04-24,41.31
Hungry Heart,1980-01-01,2014-04-24,34.31
Brilliant Disguise,1987-01-01,2014-04-24,27.31
Atlantic City,1982-01-01,2014-04-24,32.31
Johnny 99,1982-01-01,2014-04-24,32.31
Wrecking Ball,2012-01-01,2014-04-24,2.31
The Promised Land,1978-01-01,2014-04-24,36.31
I’m on Fire,1984-01-01,2014-04-24,30.31
Because the Night,2010-01-01,2014-04-24,4.31
Working on the Highway,1984-01-01,2014-04-24,30.31
Darlington County,1984-01-01,2014-04-24,30.31
Shackled and Drawn,2012-01-01,2014-04-24,2.31
Waitin’ on a Sunny Day,2002-01-01,2014-04-24,12.31
The Ghost of Tom Joad,1995-01-01,2014-04-24,19.31
The Rising,2002-01-01,2014-04-24,12.31
Land of Hope and Dreams,2012-01-01,2014-04-24,2.31
Born to Run,1975-01-01,2014-04-24,39.31
Glory Days,1984-01-01,2014-04-24,30.31
Dancing in the Dark,1984-01-01,2014-04-24,30.31
Tenth Avenue Freeze‐Out,1975-01-01,2014-04-24,39.31
Thunder Road,1975-01-01,2014-04-24,39.31
Badlands,1978-01-01,2014-04-22,36.30
Johnny 99,1982-01-01,2014-04-22,32.30
High Hopes,2014-01-01,2014-04-22,0.30
Just Like Fire Would,2014-01-01,2014-04-22,0.30
Hungry Heart,1980-01-01,2014-04-22,34.31
Wrecking Ball,2012-01-01,2014-04-22,2.31
The Promised Land,1978-01-01,2014-04-22,36.30
Youngstown,1995-01-01,2014-04-22,19.30
Lonesome Day,2002-01-01,2014-04-22,12.30
Mary’s Place,2002-01-01,2014-04-22,12.30
The Ghost of Tom Joad,1995-01-01,2014-04-22,19.30
Radio Nowhere,2007-01-01,2014-04-22,7.30
The Rising,2002-01-01,2014-04-22,12.30
Land of Hope and Dreams,2012-01-01,2014-04-22,2.31
The Promise,2010-01-01,2014-04-22,4.30
The Wall,2014-01-01,2014-04-22,0.30
Born in the U.S.A.,1984-01-01,2014-04-22,30.31
Frankie Fell in Love,2014-01-01,2014-04-22,0.30
Born to Run,1975-01-01,2014-04-22,39.31
Dancing in the Dark,1984-01-01,2014-04-22,30.31
Tenth Avenue Freeze‐Out,1975-01-01,2014-04-22,39.31
Dream Baby Dream,2014-01-01,2014-04-22,0.30
High Hopes,2014-01-01,2014-04-19,0.30
Just Like Fire Would,2014-01-01,2014-04-19,0.30
Cadillac Ranch,1980-01-01,2014-04-19,34.30
Badlands,1978-01-01,2014-04-19,36.30
No Surrender,1984-01-01,2014-04-19,30.30
Out in the Street,1980-01-01,2014-04-19,34.30
Hungry Heart,1980-01-01,2014-04-19,34.30
Racing in the Street,1978-01-01,2014-04-19,36.30
Jack of All Trades,2012-01-01,2014-04-19,2.30
Wrecking Ball,2012-01-01,2014-04-19,2.30
Death to My Hometown,2012-01-01,2014-04-19,2.30
Shackled and Drawn,2012-01-01,2014-04-19,2.30
Waitin’ on a Sunny Day,2002-01-01,2014-04-19,12.30
The Ghost of Tom Joad,1995-01-01,2014-04-19,19.30
The Rising,2002-01-01,2014-04-19,12.30
Darkness on the Edge of Town,1978-01-01,2014-04-19,36.30
The Wall,2014-01-01,2014-04-19,0.30
Born in the U.S.A.,1984-01-01,2014-04-19,30.30
Born to Run,1975-01-01,2014-04-19,39.30
Dancing in the Dark,1984-01-01,2014-04-19,30.30
Tenth Avenue Freeze‐Out,1975-01-01,2014-04-19,39.30
Dream Baby Dream,2014-01-01,2014-04-19,0.30
High Hopes,2014-01-01,2014-04-17,0.29
Badlands,1978-01-01,2014-04-17,36.29
No Surrender,1984-01-01,2014-04-17,30.29
Death to My Hometown,2012-01-01,2014-04-17,2.29
Hungry Heart,1980-01-01,2014-04-17,34.29
Spirit in the Night,1973-01-01,2014-04-17,41.29
Atlantic City,1982-01-01,2014-04-17,32.29
Johnny 99,1982-01-01,2014-04-17,32.29
American Skin (41 Shots),2014-01-01,2014-04-17,0.29
The Promised Land,1978-01-01,2014-04-17,36.29
Because the Night,2010-01-01,2014-04-17,4.29
I’m on Fire,1984-01-01,2014-04-17,30.29
Downbound Train,1984-01-01,2014-04-17,30.29
Shackled and Drawn,2012-01-01,2014-04-17,2.29
Waitin’ on a Sunny Day,2002-01-01,2014-04-17,12.29
The Ghost of Tom Joad,1995-01-01,2014-04-17,19.29
The Rising,2002-01-01,2014-04-17,12.29
Land of Hope and Dreams,2012-01-01,2014-04-17,2.29
The Wall,2014-01-01,2014-04-17,0.29
Point Blank,1980-01-01,2014-04-17,34.29
Born in the U.S.A.,1984-01-01,2014-04-17,30.29
Born to Run,1975-01-01,2014-04-17,39.29
Dancing in the Dark,1984-01-01,2014-04-17,30.29
Tenth Avenue Freeze‐Out,1975-01-01,2014-04-17,39.29
Thunder Road,1975-01-01,2014-04-17,39.29
High Hopes,2014-01-01,2014-04-15,0.28
Adam Raised a Cain,1978-01-01,2014-04-15,36.29
Death to My Hometown,2012-01-01,2014-04-15,2.29
Hungry Heart,1980-01-01,2014-04-15,34.29
Blinded by the Light,1973-01-01,2014-04-15,41.28
Prove It All Night,1978-01-01,2014-04-15,36.29
Wrecking Ball,2012-01-01,2014-04-15,2.29
The River,1980-01-01,2014-04-15,34.29
American Skin (41 Shots),2014-01-01,2014-04-15,0.28
Johnny 99,1982-01-01,2014-04-15,32.29
Darlington County,1984-01-01,2014-04-15,30.29
Shackled and Drawn,2012-01-01,2014-04-15,2.29
Waitin’ on a Sunny Day,2002-01-01,2014-04-15,12.28
The Ghost of Tom Joad,1995-01-01,2014-04-15,19.29
The Rising,2002-01-01,2014-04-15,12.28
Lonesome Day,2002-01-01,2014-04-15,12.28
Badlands,1978-01-01,2014-04-15,36.29
Backstreets,1975-01-01,2014-04-15,39.29
Born to Run,1975-01-01,2014-04-15,39.29
Bobby Jean,1984-01-01,2014-04-15,30.29
Dancing in the Dark,1984-01-01,2014-04-15,30.29
Tenth Avenue Freeze‐Out,1975-01-01,2014-04-15,39.29
Dream Baby Dream,2014-01-01,2014-04-15,0.28
Mary’s Place,2002-01-01,2014-04-12,12.28
High Hopes,2014-01-01,2014-04-12,0.28
Badlands,1978-01-01,2014-04-12,36.28
Darkness on the Edge of Town,1978-01-01,2014-04-12,36.28
Wrecking Ball,2012-01-01,2014-04-12,2.28
Death to My Hometown,2012-01-01,2014-04-12,2.28
Hungry Heart,1980-01-01,2014-04-12,34.28
Sherry Darling,1980-01-01,2014-04-12,34.28
Talk to Me,2010-01-01,2014-04-12,4.28
Heaven’s Wall,2014-01-01,2014-04-12,0.28
Because the Night,2010-01-01,2014-04-12,4.28
She’s the One,1975-01-01,2014-04-12,39.28
Darlington County,1984-01-01,2014-04-12,30.28
Shackled and Drawn,2012-01-01,2014-04-12,2.28
Waitin’ on a Sunny Day,2002-01-01,2014-04-12,12.28
The Ghost of Tom Joad,1995-01-01,2014-04-12,19.28
The Rising,2002-01-01,2014-04-12,12.28
Land of Hope and Dreams,2012-01-01,2014-04-12,2.28
The Wall,2014-01-01,2014-04-12,0.28
Born to Run,1975-01-01,2014-04-12,39.28
Dancing in the Dark,1984-01-01,2014-04-12,30.28
Tenth Avenue Freeze‐Out,1975-01-01,2014-04-12,39.28
Thunder Road,1975-01-01,2014-04-12,39.28
The E Street Shuffle,1973-01-01,2014-04-10,41.27
The River,1980-01-01,2014-04-10,34.27
Kitty’s Back,1973-01-01,2014-04-10,41.27
High Hopes,2014-01-01,2014-04-08,0.27
Badlands,1978-01-01,2014-04-08,36.27
Death to My Hometown,2012-01-01,2014-04-08,2.27
Night,1975-01-01,2014-04-08,39.27
Hungry Heart,1980-01-01,2014-04-08,34.27
Spirit in the Night,1973-01-01,2014-04-08,41.27
Wrecking Ball,2012-01-01,2014-04-08,2.27
Lost in the Flood,1973-01-01,2014-04-08,41.27
Because the Night,2010-01-01,2014-04-08,4.27
Heaven’s Wall,2014-01-01,2014-04-08,0.27
American Skin (41 Shots),2014-01-01,2014-04-08,0.27
The Promised Land,1978-01-01,2014-04-08,36.27
Pay Me My Money Down,2006-01-01,2014-04-08,8.27
Darlington County,1984-01-01,2014-04-08,30.27
Shackled and Drawn,2012-01-01,2014-04-08,2.27
Waitin’ on a Sunny Day,2002-01-01,2014-04-08,12.27
The Ghost of Tom Joad,1995-01-01,2014-04-08,19.27
The Rising,2002-01-01,2014-04-08,12.27
Land of Hope and Dreams,2012-01-01,2014-04-08,2.27
Growin’ Up,1973-01-01,2014-04-08,41.27
Born to Run,1975-01-01,2014-04-08,39.27
Bobby Jean,1984-01-01,2014-04-08,30.27
Dancing in the Dark,1984-01-01,2014-04-08,30.27
Tenth Avenue Freeze‐Out,1975-01-01,2014-04-08,39.27
Dream Baby Dream,2014-01-01,2014-04-08,0.27
Badlands,1978-01-01,2014-04-06,36.26
Death to My Hometown,2012-01-01,2014-04-06,2.26
Cover Me,1984-01-01,2014-04-06,30.26
No Surrender,1984-01-01,2014-04-06,30.26
Hungry Heart,1980-01-01,2014-04-06,34.26
High Hopes,2014-01-01,2014-04-06,0.26
Spirit in the Night,1973-01-01,2014-04-06,41.26
Wrecking Ball,2012-01-01,2014-04-06,2.26
The River,1980-01-01,2014-04-06,34.26
Atlantic City,1982-01-01,2014-04-06,32.26
Johnny 99,1982-01-01,2014-04-06,32.26
Darlington County,1984-01-01,2014-04-06,30.26
Working on the Highway,1984-01-01,2014-04-06,30.26
Shackled and Drawn,2012-01-01,2014-04-06,2.26
Waitin’ on a Sunny Day,2002-01-01,2014-04-06,12.26
The Ghost of Tom Joad,1995-01-01,2014-04-06,19.26
The Rising,2002-01-01,2014-04-06,12.26
Land of Hope and Dreams,2012-01-01,2014-04-06,2.26
Born to Run,1975-01-01,2014-04-06,39.26
Glory Days,1984-01-01,2014-04-06,30.26
Dancing in the Dark,1984-01-01,2014-04-06,30.26
Tenth Avenue Freeze‐Out,1975-01-01,2014-04-06,39.26
Thunder Road,1975-01-01,2014-04-06,39.26
We Take Care of Our Own,2012-01-01,2014-03-02,2.17
No Surrender,1984-01-01,2014-03-02,30.17
Two Hearts,1980-01-01,2014-03-02,34.17
Hungry Heart,1980-01-01,2014-03-02,34.17
The Promised Land,1978-01-01,2014-03-02,36.17
Death to My Hometown,2012-01-01,2014-03-02,2.17
High Hopes,2014-01-01,2014-03-02,0.16
Just Like Fire Would,2014-01-01,2014-03-02,0.16
Darkness on the Edge of Town,1978-01-01,2014-03-02,36.17
My City of Ruins,2002-01-01,2014-03-02,12.16
Thunder Road,1975-01-01,2014-03-02,39.17
Tenth Avenue Freeze‐Out,1975-01-01,2014-03-02,39.17
Night,1975-01-01,2014-03-02,39.17
Backstreets,1975-01-01,2014-03-02,39.17
Born to Run,1975-01-01,2014-03-02,39.17
She’s the One,1975-01-01,2014-03-02,39.17
Meeting Across the River,1975-01-01,2014-03-02,39.17
Jungleland,1975-01-01,2014-03-02,39.17
The Rising,2002-01-01,2014-03-02,12.16
The Ghost of Tom Joad,1995-01-01,2014-03-02,19.17
Badlands,1978-01-01,2014-03-02,36.17
Waitin’ on a Sunny Day,2002-01-01,2014-03-02,12.16
Glory Days,1984-01-01,2014-03-02,30.17
Bobby Jean,1984-01-01,2014-03-02,30.17
Dancing in the Dark,1984-01-01,2014-03-02,30.17
Badlands,1978-01-01,2014-03-01,36.16
Out in the Street,1980-01-01,2014-03-01,34.16
Wrecking Ball,2012-01-01,2014-03-01,2.16
Death to My Hometown,2012-01-01,2014-03-01,2.16
High Hopes,2014-01-01,2014-03-01,0.16
Atlantic City,1982-01-01,2014-03-01,32.16
The River,1980-01-01,2014-03-01,34.16
Born in the U.S.A.,1984-01-01,2014-03-01,30.16
Cover Me,1984-01-01,2014-03-01,30.16
Darlington County,1984-01-01,2014-03-01,30.16
Working on the Highway,1984-01-01,2014-03-01,30.16
Downbound Train,1984-01-01,2014-03-01,30.16
I’m on Fire,1984-01-01,2014-03-01,30.16
No Surrender,1984-01-01,2014-03-01,30.16
Bobby Jean,1984-01-01,2014-03-01,30.16
I’m Goin’ Down,1984-01-01,2014-03-01,30.16
Glory Days,1984-01-01,2014-03-01,30.16
Dancing in the Dark,1984-01-01,2014-03-01,30.16
My Hometown,1984-01-01,2014-03-01,30.16
The Rising,2002-01-01,2014-03-01,12.16
The Ghost of Tom Joad,1995-01-01,2014-03-01,19.16
Land of Hope and Dreams,2012-01-01,2014-03-01,2.16
Born to Run,1975-01-01,2014-03-01,39.16
Rosalita (Come Out Tonight),1973-01-01,2014-03-01,41.16
Tenth Avenue Freeze‐Out,1975-01-01,2014-03-01,39.16
Thunder Road,1975-01-01,2014-03-01,39.16
It’s Hard to Be a Saint in the City,1973-01-01,2014-02-26,41.15
Does This Bus Stop at 82nd Street?,1973-01-01,2014-02-26,41.15
Growin’ Up,1973-01-01,2014-02-26,41.15
Spirit in the Night,1973-01-01,2014-02-26,41.15
High Hopes,2014-01-01,2014-02-26,0.15
Just Like Fire Would,2014-01-01,2014-02-26,0.15
You Can Look (but You Better Not Touch),1980-01-01,2014-02-26,34.16
Sherry Darling,1980-01-01,2014-02-26,34.16
Save My Love,2010-01-01,2014-02-26,4.15
Fade Away,1980-01-01,2014-02-26,34.16
The E Street Shuffle,1973-01-01,2014-02-26,41.15
"4th of July, Asbury Park (Sandy)",1973-01-01,2014-02-26,41.15
Kitty’s Back,1973-01-01,2014-02-26,41.15
Wild Billy’s Circus Story,1973-01-01,2014-02-26,41.15
Incident on 57th Street,1973-01-01,2014-02-26,41.15
Rosalita (Come Out Tonight),1973-01-01,2014-02-26,41.15
New York City Serenade,1973-01-01,2014-02-26,41.15
Darlington County,1984-01-01,2014-02-26,30.16
Waitin’ on a Sunny Day,2002-01-01,2014-02-26,12.15
The Rising,2002-01-01,2014-02-26,12.15
The Ghost of Tom Joad,1995-01-01,2014-02-26,19.15
Badlands,1978-01-01,2014-02-26,36.15
Glory Days,1984-01-01,2014-02-26,30.16
Born to Run,1975-01-01,2014-02-26,39.15
Bobby Jean,1984-01-01,2014-02-26,30.16
Dancing in the Dark,1984-01-01,2014-02-26,30.16
Tenth Avenue Freeze‐Out,1975-01-01,2014-02-26,39.15
Thunder Road,1975-01-01,2014-02-26,39.15
Death to My Hometown,2012-01-01,2014-02-23,2.15
Out in the Street,1980-01-01,2014-02-23,34.15
Rosalita (Come Out Tonight),1973-01-01,2014-02-23,41.15
High Hopes,2014-01-01,2014-02-23,0.15
Just Like Fire Would,2014-01-01,2014-02-23,0.15
Johnny 99,1982-01-01,2014-02-23,32.15
Heaven’s Wall,2014-01-01,2014-02-23,0.15
Brilliant Disguise,1987-01-01,2014-02-23,27.15
Human Touch,1992-01-01,2014-02-23,22.15
I’m Goin’ Down,1984-01-01,2014-02-23,30.15
Pay Me My Money Down,2006-01-01,2014-02-23,8.15
Shackled and Drawn,2012-01-01,2014-02-23,2.15
Radio Nowhere,2007-01-01,2014-02-23,7.15
The Rising,2002-01-01,2014-02-23,12.15
The Ghost of Tom Joad,1995-01-01,2014-02-23,19.15
Badlands,1978-01-01,2014-02-23,36.15
"4th of July, Asbury Park (Sandy)",1973-01-01,2014-02-23,41.15
Born in the U.S.A.,1984-01-01,2014-02-23,30.15
Born to Run,1975-01-01,2014-02-23,39.15
Ramrod,1980-01-01,2014-02-23,34.15
Dancing in the Dark,1984-01-01,2014-02-23,30.15
Tenth Avenue Freeze‐Out,1975-01-01,2014-02-23,39.15
I Wish I Were Blind,1992-01-01,2014-02-23,22.15
Thunder Road,1975-01-01,2014-02-23,39.15
Badlands,1978-01-01,2014-02-22,36.14
No Surrender,1984-01-01,2014-02-22,30.14
Two Hearts,1980-01-01,2014-02-22,34.14
Bobby Jean,1984-01-01,2014-02-22,30.14
High Hopes,2014-01-01,2014-02-22,0.14
Just Like Fire Would,2014-01-01,2014-02-22,0.14
Wrecking Ball,2012-01-01,2014-02-22,2.14
The River,1980-01-01,2014-02-22,34.14
American Skin (41 Shots),2014-01-01,2014-02-22,0.14
Because the Night,2010-01-01,2014-02-22,4.14
Working on the Highway,1984-01-01,2014-02-22,30.14
Darlington County,1984-01-01,2014-02-22,30.14
Shackled and Drawn,2012-01-01,2014-02-22,2.14
Waitin’ on a Sunny Day,2002-01-01,2014-02-22,12.14
The Ghost of Tom Joad,1995-01-01,2014-02-22,19.14
Land of Hope and Dreams,2012-01-01,2014-02-22,2.14
Born to Run,1975-01-01,2014-02-22,39.14
Dancing in the Dark,1984-01-01,2014-02-22,30.14
Tenth Avenue Freeze‐Out,1975-01-01,2014-02-22,39.14
Thunder Road,1975-01-01,2014-02-22,39.14
Out in the Street,1980-01-01,2014-02-19,34.14
Cadillac Ranch,1980-01-01,2014-02-19,34.14
High Hopes,2014-01-01,2014-02-19,0.13
Just Like Fire Would,2014-01-01,2014-02-19,0.13
Spirit in the Night,1973-01-01,2014-02-19,41.13
Badlands,1978-01-01,2014-02-19,36.13
Adam Raised a Cain,1978-01-01,2014-02-19,36.13
Something in the Night,1978-01-01,2014-02-19,36.13
Candy’s Room,1978-01-01,2014-02-19,36.13
Racing in the Street,1978-01-01,2014-02-19,36.13
The Promised Land,1978-01-01,2014-02-19,36.13
Factory,1978-01-01,2014-02-19,36.13
Streets of Fire,1978-01-01,2014-02-19,36.13
Prove It All Night,1978-01-01,2014-02-19,36.13
Darkness on the Edge of Town,1978-01-01,2014-02-19,36.13
Darlington County,1984-01-01,2014-02-19,30.14
Shackled and Drawn,2012-01-01,2014-02-19,2.14
Waitin’ on a Sunny Day,2002-01-01,2014-02-19,12.13
The Ghost of Tom Joad,1995-01-01,2014-02-19,19.14
Land of Hope and Dreams,2012-01-01,2014-02-19,2.14
Born to Run,1975-01-01,2014-02-19,39.14
Dancing in the Dark,1984-01-01,2014-02-19,30.14
Tenth Avenue Freeze‐Out,1975-01-01,2014-02-19,39.14
"Surprise, Surprise",2009-01-01,2014-02-19,5.13
Dream Baby Dream,2014-01-01,2014-02-19,0.13
Born in the U.S.A.,1984-01-01,2014-02-16,30.13
Badlands,1978-01-01,2014-02-16,36.13
Lucky Town,1992-01-01,2014-02-16,22.13
Growin’ Up,1973-01-01,2014-02-16,41.13
Wrecking Ball,2012-01-01,2014-02-16,2.13
Death to My Hometown,2012-01-01,2014-02-16,2.13
High Hopes,2014-01-01,2014-02-16,0.13
Just Like Fire Would,2014-01-01,2014-02-16,0.13
Lost in the Flood,1973-01-01,2014-02-16,41.13
Spirit in the Night,1973-01-01,2014-02-16,41.13
Thunder Road,1975-01-01,2014-02-16,39.13
Tenth Avenue Freeze‐Out,1975-01-01,2014-02-16,39.13
Night,1975-01-01,2014-02-16,39.13
Backstreets,1975-01-01,2014-02-16,39.13
Born to Run,1975-01-01,2014-02-16,39.13
