song_title,album_release_date_iso,play_date_iso,years_since_release
Wrecking Ball,2012-01-01,2025-06-21,13.47
The Rising,2002-01-01,2025-06-21,23.47
Badlands,1978-01-01,2025-06-21,47.47
Thunder Road,1975-01-01,2025-06-21,50.47
Born in the U.S.A.,1984-01-01,2025-06-21,41.47
Born to Run,1975-01-01,2025-06-21,50.47
Bobby Jean,1984-01-01,2025-06-21,41.47
Dancing in the Dark,1984-01-01,2025-06-21,41.47
Tenth Avenue Freeze‐Out,1975-01-01,2025-06-21,50.47
No Surrender,1984-01-01,2025-06-18,41.46
Land of Hope and Dreams,2012-01-01,2025-06-18,13.46
Death to My Hometown,2012-01-01,2025-06-18,13.46
Lonesome Day,2002-01-01,2025-06-18,23.46
Rainmaker,2020-10-23,2025-06-18,4.65
Atlantic City,1982-01-01,2025-06-18,43.46
The Promised Land,1978-01-01,2025-06-18,47.46
Hungry Heart,1980-01-01,2025-06-18,45.46
The River,1980-01-01,2025-06-18,45.46
Youngstown,1995-01-01,2025-06-18,30.46
Long Walk Home,2007-01-01,2025-06-18,18.46
House of a Thousand Guitars,2020-10-23,2025-06-18,4.65
My City of Ruins,2002-01-01,2025-06-18,23.46
Because the Night,2010-01-01,2025-06-18,15.46
Wrecking Ball,2012-01-01,2025-06-18,13.46
The Rising,2002-01-01,2025-06-18,23.46
Badlands,1978-01-01,2025-06-18,47.46
Thunder Road,1975-01-01,2025-06-18,50.46
Born in the U.S.A.,1984-01-01,2025-06-18,41.46
Born to Run,1975-01-01,2025-06-18,50.46
Bobby Jean,1984-01-01,2025-06-18,41.46
Dancing in the Dark,1984-01-01,2025-06-18,41.46
Tenth Avenue Freeze‐Out,1975-01-01,2025-06-18,50.46
Land of Hope and Dreams,2012-01-01,2025-06-15,13.45
Death to My Hometown,2012-01-01,2025-06-15,13.45
Lonesome Day,2002-01-01,2025-06-15,23.45
No Surrender,1984-01-01,2025-06-15,41.45
Rainmaker,2020-10-23,2025-06-15,4.64
Darkness on the Edge of Town,1978-01-01,2025-06-15,47.45
The Promised Land,1978-01-01,2025-06-15,47.45
Hungry Heart,1980-01-01,2025-06-15,45.45
The River,1980-01-01,2025-06-15,45.45
Youngstown,1995-01-01,2025-06-15,30.45
Long Walk Home,2007-01-01,2025-06-15,18.45
House of a Thousand Guitars,2020-10-23,2025-06-15,4.64
My City of Ruins,2002-01-01,2025-06-15,23.45
Because the Night,2010-01-01,2025-06-15,15.45
Human Touch,1992-01-01,2025-06-15,33.45
Wrecking Ball,2012-01-01,2025-06-15,13.45
The Rising,2002-01-01,2025-06-15,23.45
Badlands,1978-01-01,2025-06-15,47.45
Thunder Road,1975-01-01,2025-06-15,50.45
Born in the U.S.A.,1984-01-01,2025-06-15,41.45
Born to Run,1975-01-01,2025-06-15,50.45
Bobby Jean,1984-01-01,2025-06-15,41.45
Dancing in the Dark,1984-01-01,2025-06-15,41.45
Tenth Avenue Freeze‐Out,1975-01-01,2025-06-15,50.45
Ghosts,2020-10-23,2025-06-11,4.63
Land of Hope and Dreams,2012-01-01,2025-06-11,13.44
Death to My Hometown,2012-01-01,2025-06-11,13.44
No Surrender,1984-01-01,2025-06-11,41.44
Two Hearts,1980-01-01,2025-06-11,45.44
Out in the Street,1980-01-01,2025-06-11,45.44
Lonesome Day,2002-01-01,2025-06-11,23.44
Rainmaker,2020-10-23,2025-06-11,4.63
The Promised Land,1978-01-01,2025-06-11,47.44
Hungry Heart,1980-01-01,2025-06-11,45.44
The River,1980-01-01,2025-06-11,45.44
Youngstown,1995-01-01,2025-06-11,30.44
Long Walk Home,2007-01-01,2025-06-11,18.44
House of a Thousand Guitars,2020-10-23,2025-06-11,4.63
My City of Ruins,2002-01-01,2025-06-11,23.44
Because the Night,2010-01-01,2025-06-11,15.44
Wrecking Ball,2012-01-01,2025-06-11,13.44
The Rising,2002-01-01,2025-06-11,23.44
Badlands,1978-01-01,2025-06-11,47.44
Thunder Road,1975-01-01,2025-06-11,50.44
Born in the U.S.A.,1984-01-01,2025-06-11,41.44
Born to Run,1975-01-01,2025-06-11,50.44
Bobby Jean,1984-01-01,2025-06-11,41.44
Dancing in the Dark,1984-01-01,2025-06-11,41.44
Tenth Avenue Freeze‐Out,1975-01-01,2025-06-11,50.44
Ghosts,2020-10-23,2025-06-07,4.62
Land of Hope and Dreams,2012-01-01,2025-06-07,13.43
Death to My Hometown,2012-01-01,2025-06-07,13.43
Lonesome Day,2002-01-01,2025-06-07,23.43
Rainmaker,2020-10-23,2025-06-07,4.62
Darkness on the Edge of Town,1978-01-01,2025-06-07,47.43
The Promised Land,1978-01-01,2025-06-07,47.43
Hungry Heart,1980-01-01,2025-06-07,45.43
My Hometown,1984-01-01,2025-06-07,41.43
The River,1980-01-01,2025-06-07,45.43
Youngstown,1995-01-01,2025-06-07,30.43
Long Walk Home,2007-01-01,2025-06-07,18.43
House of a Thousand Guitars,2020-10-23,2025-06-07,4.62
My City of Ruins,2002-01-01,2025-06-07,23.43
Because the Night,2010-01-01,2025-06-07,15.43
Wrecking Ball,2012-01-01,2025-06-07,13.43
The Rising,2002-01-01,2025-06-07,23.43
Badlands,1978-01-01,2025-06-07,47.43
Thunder Road,1975-01-01,2025-06-07,50.43
Born in the U.S.A.,1984-01-01,2025-06-07,41.43
Born to Run,1975-01-01,2025-06-07,50.43
Glory Days,1984-01-01,2025-06-07,41.43
Dancing in the Dark,1984-01-01,2025-06-07,41.43
Tenth Avenue Freeze‐Out,1975-01-01,2025-06-07,50.43
